"Data Import Template"
"Table:","Item"
""
""
"Notes:"
"Please do not change the template headings."
"First data column must be blank."
"If you are uploading new records, leave the ""name"" (ID) column blank."
"If you are uploading new records, ""Naming Series"" becomes mandatory, if present."
"Only mandatory fields are necessary for new records. You can delete non-mandatory columns if you wish."
"For updating, you can update only selective columns."
"You can only upload upto 5000 records in one go. (may be less in some cases)"
""
"DocType:","Item","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","~","Item Reorder","item_reorder","","","","~","UOM Conversion Detail","uom_conversion_details","","~","Item Supplier","item_supplier_details","","~","Item Customer Detail","item_customer_details","","~","Item Tax","item_tax","","~","Item Quality Inspection Parameter","item_specification_details","","~","Website Item Group","website_item_groups","~","Item Website Specification","item_website_specifications",""
"Column Labels:","ID","Item Code","Item Name","Item Group","Default Unit of Measure","Description","Is Stock Item","Is Fixed Asset Item","Has Batch No","Has Serial No","Is Purchase Item","Is Sales Item","Is Service Item","Inspection Required","Allow Bill of Materials","Allow Production Order","Is Sub Contracted Item","Brand","Barcode","Image","Description HTML","Default Warehouse","Allowance Percent","Valuation Method","Minimum Order Qty","Serial Number Series","Warranty Period (in days)","End of Life","Net Weight","Weight UOM","Re-Order Level","Re-Order Qty","Default Supplier","Lead Time Days","Default Expense Account","Default Buying Cost Center","Last Purchase Rate","Standard Rate","Manufacturer","Manufacturer Part Number","Max Discount (%)","Default Income Account","Default Selling Cost Center","Default BOM","Show in Website","Page Name","Weightage","Slideshow","Image","Website Warehouse","Website Description","Parent Website Route","","ID","Warehouse","Re-order Level","Material Request Type","Re-order Qty","","ID","UOM","Conversion Factor","","ID","Supplier","Supplier Part Number","","ID","Customer Name","Ref Code","","ID","Tax","Tax Rate","","ID","Parameter","Acceptance Criteria","","ID","Item Group","","ID","Label","Description"
"Column Name:","name","item_code","item_name","item_group","stock_uom","description","is_stock_item","is_asset_item","has_batch_no","has_serial_no","is_purchase_item","is_sales_item","is_service_item","inspection_required","is_manufactured_item","is_pro_applicable","is_sub_contracted_item","brand","barcode","image","description_html","default_warehouse","tolerance","valuation_method","min_order_qty","serial_no_series","warranty_period","end_of_life","net_weight","weight_uom","re_order_level","re_order_qty","default_supplier","lead_time_days","expense_account","buying_cost_center","last_purchase_rate","standard_rate","manufacturer","manufacturer_part_no","max_discount","income_account","selling_cost_center","default_bom","show_in_website","page_name","weightage","slideshow","website_image","website_warehouse","web_long_description","parent_website_route","~","name","warehouse","warehouse_reorder_level","material_request_type","warehouse_reorder_qty","~","name","uom","conversion_factor","~","name","supplier","supplier_part_no","~","name","customer_name","ref_code","~","name","tax_type","tax_rate","~","name","specification","value","~","name","item_group","~","name","label","description"
"Mandatory:","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","","Yes","Yes","Yes","Yes","No","","Yes","No","No","","Yes","No","No","","Yes","Yes","Yes","","Yes","Yes","No","","Yes","Yes","No","","Yes","Yes","","Yes","No","No"
"Type:","Data (text)","Data","Data","Link","Link","Small Text","Select","Select","Select","Select","Select","Select","Select","Select","Select","Select","Select","Link","Data","Select","Small Text","Link","Float","Select","Float","Data","Data","Date","Float","Link","Float","Float","Link","Int","Link","Link","Float","Float","Data","Data","Float","Link","Link","Link","Check","Data","Int","Link","Select","Link","Text Editor","Link","","Data","Link","Float","Select","Float","","Data","Link","Float","","Data","Link","Data","","Data","Link","Data","","Data","Link","Float","","Data","Data","Data","","Data","Link","","Data","Data","Text"
"Info:","","","","Valid Item Group","Valid UOM","","One of: Yes, No","One of: Yes, No","One of: Yes, No","One of: Yes, No","One of: Yes, No","One of: Yes, No","One of: Yes, No","One of: Yes, No","One of: Yes, No","One of: Yes, No","One of: Yes, No","Valid Brand","","One of: attach_files:","","Valid Warehouse","","One of: FIFO, Moving Average","","","","","","Valid UOM","","","Valid Supplier","Integer","Valid Account","Valid Cost Center","","","","","","Valid Account","Valid Cost Center","Valid BOM","0 or 1","","Integer","Valid Website Slideshow","One of: attach_files:","Valid Warehouse","","Valid Website Route","","Leave blank for new records","Valid Warehouse","","One of: Purchase, Transfer","","","Leave blank for new records","Valid UOM","","","Leave blank for new records","Valid Supplier","","","Leave blank for new records","Valid Customer","","","Leave blank for new records","Valid Account","","","Leave blank for new records","","","","Leave blank for new records","Valid Item Group","","Leave blank for new records","",""
"Start entering data below this line"
"","""Disc Collars""","Disc Collars","Disc Collars","Raw Material","Nos","For Upper Bearing","Yes","No","No","No","Yes","Yes","Yes","No","No","No","No","","","/assets/erpnext_demo/images/disc.png","<table style=""width: 100%; table-layout: fixed;""><tr><td style=""width:110px""><img src=""/assets/erpnext_demo/images/disc.png"" width=""100px""></td><td>For Upper Bearing</td></tr></table>","Stores - WP",0.0,"",0.0,"","","",0.0,"",0.0,0.0,"Asiatic Solutions",0,"","",74.0,0.0,"","",0.0,"Sales - WP","","",1,"disc-collars",0,"","/assets/erpnext_demo/images/disc.png","","","","","","","","","","","""UCDD/00008""","Nos",1.0,"","","","","","","","","","","","","","","","","","","","","","",""
"","""Bearing Block""","Bearing Block","Bearing Block","Raw Material","Nos","CAST IRON, MCMASTER PART NO. 3710T13","Yes","No","No","No","Yes","Yes","Yes","No","No","No","No","","","/assets/erpnext_demo/images/bearing.jpg","<table style=""width: 100%; table-layout: fixed;""><tr><td style=""width:110px""><img src=""/assets/erpnext_demo/images/bearing.jpg"" width=""100px""></td><td>CAST IRON, MCMASTER PART NO. 3710T13</td></tr></table>","Stores - WP",0.0,"",0.0,"","","",0.0,"",0.0,0.0,"Nan Duskin",0,"","",10.0,0.0,"","",0.0,"Sales - WP","","",1,"bearing-block",0,"","/assets/erpnext_demo/images/bearing.jpg","","","","","","","","","","","""UCDD/00004""","Nos",1.0,"","","","","","","","","","","","","","","","","","","","","","",""
"","""Wind MIll C Series""","Wind MIll C Series","Wind MIll C Series","Products","Nos","Wind Mill C Series for Commercial Use 18ft","Yes","No","No","Yes","No","Yes","Yes","No","Yes","Yes","No","","","/assets/erpnext_demo/images/wind-turbine-2.png","<table style=""width: 100%; table-layout: fixed;""><tr><td style=""width:110px""><img src=""/assets/erpnext_demo/images/wind-turbine-2.png"" width=""100px""></td><td>Wind Mill C Series for Commercial Use 18ft</td></tr></table>","Finished Goods - WP",0.0,"",0.0,"WMC","","",0.0,"",0.0,0.0,"",0,"","",0.0,0.0,"","",0.0,"Sales - WP","","",1,"wind-mill-c-series",0,"","/assets/erpnext_demo/images/wind-turbine-2.png","","","products","","","","","","","","""UCDD/00015""","Nos",1.0,"","","","","","","","","","","","","","","","","","","","","","",""
